GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBgn0027580	1308.41741012392	-0.872643954643673	0.114409754901433	-7.6273562109759	2.3961683018963e-14	2.27793977798955e-12	chr2R	9850702	9861543	-	protein_coding	PCB
FBgn0051195	919.475457472842	0.767548375756962	0.101148474437385	7.58833368497422	3.24045544664611e-14	3.04708479010168e-12	chr3R	20757268	20762369	-	protein_coding	CG31195
FBgn0032598	320.345350065653	0.9978697285246	0.131942610725725	7.56290725972461	3.94158640004578e-14	3.66652300503183e-12	chr2L	16738849	16742610	+	protein_coding	ChLD3
FBgn0051337	946.506556433139	-0.937334558972194	0.124683928319976	-7.51768549164345	5.57544250482937e-14	5.13118650098711e-12	chr3R	13543965	13545400	-	protein_coding	CG31337
FBgn0050069	1308.74586897614	-0.836193128643253	0.113323978542682	-7.3787837260612	1.59742071305438e-13	1.45466174617194e-11	chr2R	14185203	14198368	+	protein_coding	CG30069
FBgn0013763	28071.918814862	-0.665293598413416	0.0903019082835015	-7.36743675808862	1.73939903215082e-13	1.56745219032674e-11	chr2R	16691021	16693751	+	protein_coding	Idgf6
FBgn0034638	1759.16815971935	-0.861714482731847	0.117182071581092	-7.35363755824646	1.92884307847477e-13	1.72024963627683e-11	chr2R	21605675	21608125	-	protein_coding	CG10433
FBgn0261560	1799.02232933725	-0.844429286524634	0.11557244755904	-7.30649306438941	2.74204648440154e-13	2.42055552413854e-11	chr2L	3478433	3479612	+	protein_coding	Thor
FBgn0023549	188.177773216398	-1.27280363001717	0.175008561712916	-7.27280778471327	3.52091158936212e-13	3.07670769288603e-11	chrX	2189187	2205373	+	protein_coding	Mct1
FBgn0040398	4097.27860492211	-0.784542527630502	0.108570079429289	-7.22613939083897	4.96917713137518e-13	4.29883513635267e-11	chrX	1051524	1052631	+	protein_coding	CG14629
FBgn0036299	643.197204702289	0.825387051310425	0.114339502021727	7.21873925210538	5.24717556176576e-13	4.45032507694466e-11	chr3L	12530435	12533724	-	protein_coding	Tsf2
FBgn0036373	3781.40411583282	-0.957549548052302	0.13264555427669	-7.21885896043614	5.24255928933373e-13	4.45032507694466e-11	chr3L	13486796	13502492	+	protein_coding	Tgi
FBgn0004369	784.03180300416	-0.801622671585555	0.111327354809253	-7.20059030378513	5.99524358498622e-13	5.03542254890444e-11	chr3R	29377645	29487131	+	protein_coding	Ptp99A
FBgn0036684	975.889794975767	-0.797585881481341	0.111038656583427	-7.1829568730606	6.82196253590705e-13	5.67469210558960e-11	chr3L	16994716	17012565	-	protein_coding	CG3764
FBgn0040388	1476.68610889789	-0.930534326379192	0.129905392956985	-7.16316932806104	7.88328752063138e-13	6.49507812771258e-11	chrX	2444166	2470043	-	protein_coding	boi
FBgn0051431	2335.62727795675	-0.697371086725598	0.0975219226879606	-7.15091609665004	8.62006691902859e-13	6.96936438472116e-11	chr3R	21870680	21873640	+	protein_coding	CG31431
FBgn0022160	1304.2754155394	-0.877844063932824	0.122742477037557	-7.15191745449475	8.55740255520837e-13	6.96936438472116e-11	chr2R	15857751	15862755	-	protein_coding	Gpo1
FBgn0261284	51.4229233597556	1.55027915099058	0.21782283796942	7.11715615057877	1.10176642393712e-12	8.82535308655554e-11	chrX	6986485	6987188	+	protein_coding	bou
FBgn0035968	288.554844580581	0.988562177592071	0.139162288527867	7.10366427607372	1.21491779894503e-12	9.64243475107657e-11	chr3L	9203064	9208853	-	protein_coding	Slc45-1
FBgn0052625	150.210306514425	1.28951068200144	0.181680434736584	7.09768602145348	1.26862989490495e-12	9.97719747347521e-11	chrX	13756163	13756826	-	protein_coding	CG32625
FBgn0038528	155.784873264201	1.19955485164109	0.169253971391318	7.08730697294958	1.36746837249623e-12	1.06576296310495e-10	chr3R	17619099	17619688	+	protein_coding	CG14326
FBgn0037683	1454.77595585556	-0.818573780629776	0.115567601701201	-7.08307318469923	1.40992166375267e-12	1.08903859938611e-10	chr3R	9363304	9364838	+	protein_coding	CG18473
FBgn0030805	335.781015861799	0.902340348151118	0.127959825301266	7.05174726541448	1.76684908745348e-12	1.35265588102301e-10	chrX	16938243	16940873	-	protein_coding	wus
FBgn0031359	657.531575565407	-0.811311655076559	0.115095569565638	-7.04902593677922	1.80174568770166e-12	1.36727210037781e-10	chr2L	1716243	1724388	-	protein_coding	Rim2
FBgn0050463	43.1612480103141	1.58320078429039	0.224794332908506	7.04288566266823	1.88298741521129e-12	1.4164977503472e-10	chr2R	16673234	16732916	-	protein_coding	Pgant9
FBgn0028514	567.337262289506	-0.917614582190559	0.130391863282051	-7.03736076081422	1.9591514672231e-12	1.46108787439198e-10	chr2L	15923394	15926287	+	protein_coding	CG4793
FBgn0004396	2390.58517297746	0.998789668591613	0.142059521164669	7.03078301547883	2.05377682811607e-12	1.51856609743864e-10	chr3L	15535394	15553214	+	protein_coding	CrebA
FBgn0053516	706.839090739559	-0.803328014697514	0.114530715547942	-7.01408360939863	2.31460958631637e-12	1.69692267213754e-10	chr2L	2058789	2109878	-	protein_coding	dpr3
FBgn0000567	253.932072621603	-1.08652845519945	0.155092673733779	-7.00567234442358	2.45802550281913e-12	1.78692257352002e-10	chr3L	17558671	17619325	-	protein_coding	Eip74EF
FBgn0034438	73.6477679784184	1.40502198839188	0.200895845251756	6.99378320458122	2.67570925526853e-12	1.92896339727734e-10	chr2R	19367247	19373702	-	protein_coding	CG9416
FBgn0038198	62.108502781896	1.52384478993872	0.218684463954402	6.96823524809913	3.2094125102557e-12	2.29459732448116e-10	chr3R	14089516	14092425	+	protein_coding	Npc2b
FBgn0005593	33109.9137230787	-0.652797576528548	0.0940395590634165	-6.94173370260411	3.87316819439774e-12	2.74645721719138e-10	chr2L	10201003	10202321	+	protein_coding	RpL7
FBgn0032956	2852.49745246596	0.610229401379083	0.0879759292050546	6.93632232012871	4.02438838965933e-12	2.83048650072706e-10	chr2L	21658734	21663698	+	protein_coding	Cul2
FBgn0003502	1187.71003997491	0.681985460644058	0.0988415111792558	6.89978787765831	5.2080247037725e-12	3.6334372348658e-10	chr2L	8258372	8301079	-	protein_coding	Btk29A
FBgn0031374	2043.03737760421	-0.758961142827245	0.110265517829313	-6.88303249980734	5.85916531668601e-12	4.05501113237205e-10	chr2L	1884621	1944289	+	protein_coding	Wdr62
FBgn0039714	2283.44380986059	-0.644131196376606	0.09372038268705	-6.87290403548054	6.29078880436231e-12	4.31917571004272e-10	chr3R	29863700	29868895	-	protein_coding	Zip99C
FBgn0043364	1143.9544715076	-1.00802550078096	0.146693930687397	-6.87162376832786	6.34751840439256e-12	4.32380958396851e-10	chr2L	476445	479688	-	protein_coding	cbt
FBgn0033426	365.363842027755	-0.924032893253148	0.134625924098897	-6.86370696757	6.70961959157635e-12	4.53475930365055e-10	chr2R	9577426	9581847	+	protein_coding	CG1814
FBgn0028990	1327.84635438278	-0.719333832225173	0.105308398376645	-6.83073566129465	8.44802751248008e-12	5.6654175201911e-10	chr2L	6671064	6673347	-	protein_coding	Spn27A
FBgn0027515	443.036119142957	0.823285042589732	0.12163814887035	6.76831282155768	1.30292808858093e-11	8.60429839260581e-10	chr2L	7821150	7825350	+	protein_coding	CG7115
FBgn0004893	469.445955374178	-0.807800416132651	0.119336078850159	-6.76912149214274	1.29566709784859e-11	8.60429839260581e-10	chr2L	3771699	3784121	+	protein_coding	bowl
FBgn0037646	40.5200264626335	-1.55347358547224	0.229794816507167	-6.76026382615896	1.37740688744633e-11	9.02723256310471e-10	chr3R	8980859	8982793	+	protein_coding	CAHbeta
FBgn0034718	488.368539791061	1.14232820519413	0.169066492920662	6.75668008166578	1.41189467246881e-11	9.18368482069753e-10	chr2R	22298213	22311937	-	protein_coding	wdp
FBgn0086365	3431.42386097618	-0.555106453711758	0.0821856505515763	-6.75429895591562	1.43527533460102e-11	9.26609471614438e-10	chr3R	24273028	24275728	+	protein_coding	Orct2
FBgn0028327	4062.11618448947	0.59832768390508	0.0887159190015536	6.74431027304809	1.53755657009412e-11	9.85289028732168e-10	chrX	9551139	9553750	-	protein_coding	l(1)G0320
FBgn0261238	905.950750098098	0.695647185363626	0.103182881641709	6.74188561411944	1.56344151421196e-11	9.90011452631925e-10	chr3R	7094595	7124185	-	protein_coding	Alh
FBgn0031703	88.7187395957919	-1.38802109818634	0.20589263915817	-6.74147994732361	1.56781376731677e-11	9.90011452631925e-10	chr2L	5339131	5342234	-	protein_coding	CG12512
FBgn0038476	1330.67950794971	0.653477971058508	0.0971717862841109	6.72497641597191	1.75620885254453e-11	1.10093933212773e-09	chr3R	17080243	17084781	+	protein_coding	kuk
FBgn0086450	5554.41812549471	-0.550942288173064	0.0821895089809607	-6.7033164573436	2.03741564671871e-11	1.26803473091824e-09	chrX	9196807	9201820	-	protein_coding	su(r)
FBgn0015371	368.773642351112	-0.922084313993853	0.137596724994879	-6.70135364070742	2.06497617645261e-11	1.27600777874939e-09	chr2R	15115235	15144783	+	protein_coding	chn
FBgn0003076	1514.58528761402	0.65333411102844	0.0975343730684067	6.6985011588706	2.10568054426161e-11	1.28283397101459e-09	chr3L	16126017	16128531	-	protein_coding	Pgm1
FBgn0259749	1379.07500882567	-0.665603193152097	0.0993631419926015	-6.69869309488681	2.10291717745961e-11	1.28283397101459e-09	chr2L	6468537	6473904	-	protein_coding	mmy
FBgn0033065	29.7436358354011	1.55540099305832	0.23314463352099	6.67139950668555	2.53375431013337e-11	1.53283276482264e-09	chr2R	6173683	6176195	+	protein_coding	Cyp6w1
FBgn0039113	470.40127509901	0.815700403158723	0.122371371737188	6.66577804578809	2.63266876156922e-11	1.58161232335662e-09	chr3R	23760736	23763263	-	protein_coding	udt
FBgn0029801	1239.94294175484	-0.758164533189747	0.114219208151832	-6.63780239293829	3.18394305952778e-11	1.89960630399826e-09	chrX	5755573	5759751	+	protein_coding	CG15771
FBgn0043841	14976.7171075126	-0.652504939611892	0.0984725637938864	-6.62626131048699	3.44295470582488e-11	2.04006857260898e-09	chr2L	12403269	12423439	-	protein_coding	vir-1
FBgn0024984	117.679403305754	1.16854208076634	0.176685300450648	6.61369156226294	3.74852368929214e-11	2.206018941229e-09	chrX	2187819	2188919	+	protein_coding	CG3457
FBgn0037680	433.787671171497	0.793888527782315	0.120083548117759	6.61113483259001	3.81384910209072e-11	2.22929787717479e-09	chr3R	9335169	9337459	+	protein_coding	pasi2
FBgn0266064	3270.44102679478	0.555426554362715	0.0840667120238523	6.60697368781502	3.92255723133751e-11	2.24293847975484e-09	chr3R	15141842	15147531	-	protein_coding	GlyS
FBgn0001124	1253.86350990139	0.60456240351036	0.0915131279362137	6.60629154684508	3.94066478689470e-11	2.24293847975484e-09	chr2R	16138351	16141928	+	protein_coding	Got1
FBgn0040752	5094.89338433851	-0.800519566006185	0.121175488469419	-6.60628297123152	3.94089294789892e-11	2.24293847975484e-09	chr2R	14060455	14140902	-	protein_coding	Prosap
FBgn0028542	1161.57183491519	-0.933719192010796	0.141277873873785	-6.60909713891196	3.86670947704059e-11	2.24293847975484e-09	chr2L	13968279	13969976	-	protein_coding	NimB4
FBgn0038805	745.126082058377	0.698221104104523	0.106142430589695	6.57815258446051	4.76329292417081e-11	2.69328412333344e-09	chr3R	20575244	20577010	-	protein_coding	TFAM
FBgn0004507	1809.71057208628	0.82128551070812	0.12547228008078	6.54555340972019	5.92754687234018e-11	3.32981870081915e-09	chr2L	2130812	2137296	+	protein_coding	GlyP
FBgn0036824	3111.34213085921	-0.608765799300761	0.0930748225491841	-6.54060660689487	6.12698035860353e-11	3.41964561821156e-09	chr3L	18893119	18898293	-	protein_coding	CG3902
FBgn0035150	2608.90160916783	0.543836810616862	0.0833651637579694	6.52354995901838	6.86625271422857e-11	3.80768924556355e-09	chr3L	654362	657971	+	protein_coding	Rev1
